nganh_cap_1,nganh_cap_2,nganh_cap_3,nganh_cap_4,nganh_cap_5,ma_nganh,mo_ta_vi_du
Sắc Đẹp,"Chăm sóc tay, chân & móng",Chăm sóc tay,Mặt nạ cho tay,-,101607,
Sắc Đẹp,"Chăm sóc tay, chân & móng",Chăm sóc tay,"Kem dưỡng, dầu dưỡng & sữa dưỡng",-,101608,
Sắc Đẹp,"Chăm sóc tay, chân & móng",Chăm sóc tay,Xà phòng rửa tay,-,101609,
Sắc Đẹp,"Chăm sóc tay, chân & móng",Chăm sóc chân,Khử mùi hôi chân,-,101611,
Sắc Đẹp,"Chăm sóc tay, chân & móng",Chăm sóc chân,Mặt nạ cho chân,-,101612,
Sắc Đẹp,"Chăm sóc tay, chân & móng",Chăm sóc chân,"Kem dưỡng, dầu dưỡng & sữa dưỡng",-,101613,
Sắc Đẹp,"Chăm sóc tay, chân & móng",Chăm sóc chân,Khác,-,101614,
Sắc Đẹp,"Chăm sóc tay, chân & móng",Chăm sóc móng,Sơn nền & sơn bóng,-,101615,
Sắc Đẹp,"Chăm sóc tay, chân & móng",Chăm sóc móng,Sơn móng,-,102029,
Sắc Đẹp,"Chăm sóc tay, chân & móng",Chăm sóc móng,Dụng cụ tẩy sơn móng,-,102030,
Sắc Đẹp,"Chăm sóc tay, chân & móng",Chăm sóc móng,Dưỡng móng,-,102031,
Sắc Đẹp,"Chăm sóc tay, chân & móng",Chăm sóc móng,Móng giả,-,102032,
Sắc Đẹp,"Chăm sóc tay, chân & móng",Chăm sóc móng,Hình dán móng,-,102033,
Sắc Đẹp,"Chăm sóc tay, chân & móng",Chăm sóc móng,Dụng cụ & thiết bị làm móng,-,102034,
Sắc Đẹp,Chăm sóc tóc,Dầu gội,-,-,100869,
Sắc Đẹp,Chăm sóc tóc,Thuốc nhuộm tóc,-,-,100870,
Sắc Đẹp,Chăm sóc tóc,Sản phẩm dưỡng tóc,-,-,100871,
Sắc Đẹp,Chăm sóc tóc,Dầu xả,-,-,100872,
Sắc Đẹp,Chăm sóc tóc,Sản phẩm tạo kiểu tóc,-,-,100873,
Sắc Đẹp,Chăm sóc tóc,Khác,-,-,100874,
Sắc Đẹp,Chăm sóc nam giới,Sữa tắm & chăm sóc cơ thể,-,-,100875,
Sắc Đẹp,Chăm sóc nam giới,Chăm sóc da,Sữa rửa mặt,-,101616,
Sắc Đẹp,Chăm sóc nam giới,Chăm sóc da,Kem dưỡng ẩm & dưỡng da,-,101617,
Sắc Đẹp,Chăm sóc nam giới,Chăm sóc da,Khác,-,101618,
Sắc Đẹp,Chăm sóc nam giới,Sản phẩm cạo râu & hớt tóc,Dưỡng da sau cạo râu,-,101619,
Sắc Đẹp,Chăm sóc nam giới,Sản phẩm cạo râu & hớt tóc,"Kem dưỡng, kem tạo bọt & gel",-,101620,
Sắc Đẹp,Chăm sóc nam giới,Sản phẩm cạo râu & hớt tóc,Dao cạo râu,-,101621,
Sắc Đẹp,Chăm sóc nam giới,Sản phẩm cạo râu & hớt tóc,Máy cạo râu,-,101622,
Sắc Đẹp,Chăm sóc nam giới,Sản phẩm cạo râu & hớt tóc,Cọ cạo râu,-,101623,
Sắc Đẹp,Chăm sóc nam giới,Sản phẩm cạo râu & hớt tóc,Máy cạo râu đa chức năng,-,101624,
Sắc Đẹp,Chăm sóc nam giới,Sản phẩm cạo râu & hớt tóc,Phụ kiện hỗ trợ cạo râu,-,101625,
Sắc Đẹp,Chăm sóc nam giới,Sản phẩm cạo râu & hớt tóc,Khác,-,101626,
Sắc Đẹp,Chăm sóc nam giới,Chăm sóc tóc,-,-,100878,
Sắc Đẹp,Nước hoa,-,-,-,100661,
Sắc Đẹp,Trang điểm,Trang điểm mặt,Kem lót,-,101627,
Sắc Đẹp,Trang điểm,Trang điểm mặt,Kem nền,-,101628,
Sắc Đẹp,Trang điểm,Trang điểm mặt,Kem BB & CC,-,101629,
Sắc Đẹp,Trang điểm,Trang điểm mặt,Phấn phủ,-,101630,
